
37/34/85/40/37348540/37348540	Theoretical mechanics.
77/57/02/82/77570282/77570282	The Journal of inebriety.

77/57/02/20/77570220/77570220	The Journal of inebriety.

77/57/77/01/77577701/77577701	American journal of syphilis, gonorrhea and venereal diseases.

77/57/18/45/77571845/77571845	Annual report.

77/57/81/00/77578100/77578100	The virus cancer program:

77/57/52/49/77575249/77575249	Archives of the Middlesex Hospital.

77/57/44/53/77574453/77574453	Guy&apos;s Hospital reports ...

77/57/78/90/77577890/77577890	American journal of syphilis, gonorrhea and venereal diseases.
77/57/78/21/77577821/77577821	Journal of the outdoor life.

77/57/48/95/77574895/77574895	Guy&apos;s Hospital reports ...

77/57/48/57/77574857/77574857	Guy&apos;s Hospital reports ...

77/57/48/26/77574826/77574826	Guy&apos;s Hospital reports ...

77/57/05/97/77570597/77570597	Biennial report.

77/57/05/28/77570528/77570528	The Journal of inebriety.

77/57/14/27/77571427/77571427	Annual report of the Department of Mental Hygiene ...

77/57/14/72/77571472/77571472	Annual report of the Department of Mental Hygiene ...

77/57/14/89/77571489/77571489	Annual report of the Department of Mental Hygiene ...

77/57/14/58/77571458/77571458	Annual report of the Managers of the Middletown State Homeopathic Hospital at Middletown, N.Y. to the State Commission in Lunacy ...

77/57/14/10/77571410/77571410	Annual report of the Department of Mental Hygiene ...

77/57/79/58/77577958/77577958	American journal of syphilis, gonorrhea and venereal diseases.
77/57/11/81/77571181/77571181	Annual report of the Department of Mental Hygiene ...

77/57/11/98/77571198/77571198	Annual report of the Department of Mental Hygiene ...

77/57/11/36/77571136/77571136	Annual report of the Department of Mental Hygiene ...

77/57/15/16/77571516/77571516	Annual report of the Managers of the Middletown State Homeopathic Hospital at Middletown, N.Y. to the State Commission in Lunacy ...

77/57/15/54/77571554/77571554	Annual report.

77/57/15/47/77571547/77571547	Annual report.

77/57/51/81/77575181/77575181	Archives of the Middlesex Hospital.

77/57/13/90/77571390/77571390	Annual report of the Managers of the Middletown State Homeopathic Hospital at Middletown, N.Y. to the State Commission in Lunacy ...

77/57/13/69/77571369/77571369	Annual report of the Department of Mental Hygiene ...

77/57/13/52/77571352/77571352	Annual report of the Department of Mental Hygiene ...

77/57/13/07/77571307/77571307	Annual report of the Department of Mental Hygiene ...

77/57/04/08/77570408/77570408	The Journal of inebriety.

77/57/04/60/77570460/77570460	The Journal of inebriety.

77/57/01/17/77570117/77570117	The Journal of inebriety.

77/57/01/79/77570179/77570179	The Journal of inebriety.

77/57/09/77/77570977/77570977	Annual report of the Department of Mental Hygiene ...

77/57/09/60/77570960/77570960	Annual report of the Department of Mental Hygiene ...

77/57/12/94/77571294/77571294	Annual report of the Department of Mental Hygiene ...

77/57/12/49/77571249/77571249	Annual report of the Department of Mental Hygiene ...

77/57/54/41/77575441/77575441	Reports.

77/57/00/66/77570066/77570066	Archives of neurology and psychiatry.

77/57/06/55/77570655/77570655	Biennial report.

77/57/06/24/77570624/77570624	Annual report of the Department of Mental Hygiene ...

77/57/06/62/77570662/77570662	Biennial report of the managing officer of the Peoria State Hospital at Peoria, Illinois.

77/57/06/79/77570679/77570679	Annual report of the Department of Mental Hygiene ...

77/57/06/00/77570600/77570600	Biennial report of the managing officer of the Peoria State Hospital at Peoria, Illinois.

77/57/45/04/77574504/77574504	Guy&apos;s Hospital reports ...

77/57/03/40/77570340/77570340	The Journal of inebriety.

77/57/10/78/77571078/77571078	Annual report of the Department of Mental Hygiene ...

77/57/10/30/77571030/77571030	Annual report of the Department of Mental Hygiene ...

77/57/10/09/77571009/77571009	Biennial report.

77/57/10/16/77571016/77571016	Biennial report of the trustees, superintendent, etc., of the Northern Illinois hospital and asylum for the insane ...

77/57/07/37/77570737/77570737	Annual report of the Department of Mental Hygiene ...

77/57/07/82/77570782/77570782	Biennial report.

77/57/07/44/77570744/77570744	Annual report of the Department of Mental Hygiene ...

77/57/07/13/77570713/77570713	Biennial report.

77/57/07/75/77570775/77570775	Biennial report.

77/57/47/44/77574744/77574744	Guy&apos;s Hospital reports ...

77/57/47/99/77574799/77574799	Guy&apos;s Hospital reports ...

77/56/78/27/77567827/77567827	The state hospital quarterly.

77/56/78/89/77567889/77567889	The state hospital quarterly.

77/54/31/41/77543141/77543141	Journal.

35/87/06/18/35870618/35870618	Annual report of the Naval Observatory ...

35/56/99/49/35569949/35569949	The exposure on board the Atlantic &amp; Pacific car of emancipation for the slaves of old Columbia, engineered by the lightning express; or, Christianity &amp; Calvinism compared.

35/56/96/96/35569696/35569696	Biennial report of the managing officer of the Jacksonville State Hospital, ...

35/15/81/71/35158171/35158171	Treatise on natural philosophy /

82/10/54/66/82105466/82105466	The stability of jets in a divergent barotropic fluid /

82/10/58/46/82105846/82105846	A general solution for the celerity of long gravitational waves in a stratified liquid /

69/88/16/01/69881601/69881601	Guide to the use of the laryngoscope in general practice.

18/74/77/18/18747718/18747718	NOAA technical memorandum ERL NSSL.
18/41/57/31/18415731/18415731	North American Fauna.

34/72/19/61/34721961/34721961	American journal of science.

34/89/69/05/34896905/34896905	The household physician :

34/89/68/85/34896885/34896885	The household physician :

34/89/68/92/34896892/34896892	The household physician :

34/89/70/37/34897037/34897037	The household physician :

55/57/09/64/55570964/55570964	Outlines of psychiatry,

55/56/73/52/55567352/55567352	Billings reprints.

55/58/51/89/55585189/55585189	Croonian lectures on the hygienic and climatic treatment of chronic pulmonary phthisis /

81/55/95/31/81559531/81559531	Biennial report of the Board of Trustees of the State Psychopathic Hospital at the University of Michigan ...

81/67/27/46/81672746/81672746	Research on experimental hydrodynamics in relation to large-scale meteorological phenomena :

81/67/27/39/81672739/81672739	Research on experimental hydrodynamics in relation to large-scale meteorological phenomena :

81/67/28/42/81672842/81672842	Research on experimental hydrodynamics in relation to large-scale meteorological phenomena :

81/53/37/66/81533766/81533766	The Ohio medical and surgical journal ...

81/53/85/52/81538552/81538552	Establishments and products licensed under Section 351 of the Public Health Service Act /

81/53/83/43/81538343/81538343	Establishments and products licensed under Section 351 of the Public Health Service Act /

42/52/04/67/42520467/42520467	Tuberculosis dispensary method and procedure.

42/48/30/38/42483038/42483038	A treatise of mechanics, theoretical, practical, and descriptive.

42/48/31/10/42483110/42483110	A treatise of mechanics, theoretical, practical, and descriptive.

42/95/99/35/42959935/42959935	Elements of the differential and integral calculus.

42/58/80/43/42588043/42588043	Tables for facilitating the operations of multiplication, division, and evolution.

42/94/00/32/42940032/42940032	A manual of mathematics,

64/46/56/94/64465694/64465694	Iowa mental health laws in brief,

64/45/19/43/64451943/64451943	Behind the door of delusion,

64/45/07/46/64450746/64450746	Flowers that never fade.

64/43/97/43/64439743/64439743	The New York journal of medicine.

64/43/31/61/64433161/64433161	Bulletin of the State Board of Health of Kentucky.

44/82/68/95/44826895/44826895	Westborough state hospital papers;

44/55/98/00/44559800/44559800	Child health magazine.
44/55/99/51/44559951/44559951	Child health magazine.
44/24/82/82/44248282/44248282	Report.

44/24/85/80/44248580/44248580	Report.

44/24/85/97/44248597/44248597	Report.

44/24/85/73/44248573/44248573	Report.

44/94/17/71/44941771/44941771	Journal of rational medicine.

44/94/16/37/44941637/44941637	Journal of rational medicine.

78/90/70/98/78907098/78907098	International medical and surgical survey.

78/90/72/76/78907276/78907276	International medical and surgical survey.

78/90/73/34/78907334/78907334	International medical and surgical survey.

78/90/71/56/78907156/78907156	International medical and surgical survey.

78/90/71/01/78907101/78907101	International medical and surgical survey.

78/91/61/93/78916193/78916193	The Medical repository.

78/91/46/17/78914617/78914617	The Journal of medical research.

78/91/46/79/78914679/78914679	The Journal of medical research.

78/91/02/44/78910244/78910244	The New York journal of medicine.

78/91/02/99/78910299/78910299	The New York journal of medicine.

78/91/69/84/78916984/78916984	The Ohio medical and surgical journal ...

78/91/42/68/78914268/78914268	The Journal of medical research.

78/91/44/91/78914491/78914491	The Journal of medical research.

78/91/70/92/78917092/78917092	The Ohio medical and surgical journal ...

78/91/01/17/78910117/78910117	The New York journal of medicine.

78/91/01/24/78910124/78910124	The New York journal of medicine.

78/91/01/79/78910179/78910179	The New York journal of medicine.

78/91/01/86/78910186/78910186	The New York journal of medicine.

78/91/01/31/78910131/78910131	The New York journal of medicine.

78/91/00/11/78910011/78910011	The New York journal of medicine.

78/91/00/59/78910059/78910059	The New York journal of medicine.

78/91/00/66/78910066/78910066	The New York journal of medicine.

78/91/45/73/78914573/78914573	The Journal of medical research.

78/91/03/64/78910364/78910364	The New York journal of medicine.

78/91/03/57/78910357/78910357	The New York journal of medicine.

78/91/66/93/78916693/78916693	The Ohio medical and surgical journal ...

78/91/71/50/78917150/78917150	The Transylvania journal of medicine and the associate sciences.

24/79/27/78/24792778/24792778	The household guide, or, Domestic cyclopedia : a practical family physician, home remedies and home treatment on all diseases : an instructor on nursing, housekeeping and home adornments /

24/27/23/40/24272340/24272340	Biennial report.

24/27/10/09/24271009/24271009	First lines of the practice of physic.

24/27/53/45/24275345/24275345	Biennial report of the managing officer of the Jacksonville State Hospital, ...

24/28/55/89/24285589/24285589	Diseases of the nervous system :

24/28/40/53/24284053/24284053	The Journal of medical research.

24/28/39/69/24283969/24283969	The Journal of medical research.

24/29/10/52/24291052/24291052	American journal of science.

24/31/87/50/24318750/24318750	The Science observer.

21/46/12/90/21461290/21461290	National program coordination.

21/46/12/14/21461214/21461214	National program coordination.

21/85/63/51/21856351/21856351	Annual summary /

21/66/46/88/21664688/21664688	Studies from the Museum of Zoology in University College, Dundee ...

21/71/05/54/21710554/21710554	Un-natural history,

48/85/60/11/48856011/48856011	Second US-USSR Joint Symposium on Myocardial Metabolism,

48/67/91/45/48679145/48679145	Experimental mechanics for schools,

48/67/65/20/48676520/48676520	Original investigation;

48/00/17/21/48001721/48001721	Numbers, variables and Mr. Russell&apos;s philosophy /

63/40/02/51/63400251/63400251	The Messenger of mathematics ...
63/40/22/13/63402213/63402213	Prace matematyczno-fizyczne.

63/40/22/06/63402206/63402206	Prace matematyczno-fizyczne.

63/39/00/21/63390021/63390021	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/39/00/14/63390014/63390014	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/39/00/45/63390045/63390045	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/39/00/07/63390007/63390007	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/39/00/38/63390038/63390038	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/84/76/63388476/63388476	Journal.

63/38/84/83/63388483/63388483	Journal.

63/38/14/88/63381488/63381488	Motion of a particle attached to a spring ...

63/38/14/71/63381471/63381471	A case of constrained motion on a right circular cone ...

63/38/15/39/63381539/63381539	A case of constrained motion of a heavy rod ...

63/38/98/82/63389882/63389882	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/98/68/63389868/63389868	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/98/51/63389851/63389851	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/98/99/63389899/63389899	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/98/75/63389875/63389875	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/19/63389919/63389919	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/02/63389902/63389902	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/64/63389964/63389964	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/88/63389988/63389988	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/95/63389995/63389995	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/57/63389957/63389957	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/40/63389940/63389940	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/26/63389926/63389926	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/71/63389971/63389971	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

63/38/99/33/63389933/63389933	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

20/42/03/00/20420300/20420300	Syllabus ...
20/41/27/93/20412793/20412793	Annual report of the American Museum of Natural History.

23/64/92/92/23649292/23649292	Annual report on carcinogens.

23/76/01/78/23760178/23760178	Transactions -
23/15/19/31/23151931/23151931	The American medical almanac ...

14/52/20/02/14522002/14522002	Manual of the botany of the northern United States ...

14/42/13/95/14421395/14421395	The microscope :

14/64/21/54/14642154/14642154	The illustrated natural history /

14/64/12/79/14641279/14641279	Chapters on animals.

14/48/30/77/14483077/14483077	Morphology of angiosperms :

14/51/90/89/14519089/14519089	The natural history of plants,

14/54/10/43/14541043/14541043	Studies of trees in winter.

14/59/94/09/14599409/14599409	A synopsis of medical treatment /

14/36/54/87/14365487/14365487	The virus cancer program:

14/41/91/44/14419144/14419144	A tour in Sutherlandshire :

14/41/43/03/14414303/14414303	The note-book of a naturalist.

14/53/48/35/14534835/14534835	The native flowers and ferns of the United States in their botanical, horticultural and popular aspects.

14/53/48/97/14534897/14534897	The native flowers and ferns of the United States in their botanical, horticultural and popular aspects.

14/53/65/51/14536551/14536551	Minnesota plant studies ...

14/53/29/24/14532924/14532924	Poetry of the vegetable world :

14/47/62/94/14476294/14476294	A history of the British freshwater Algæ,

08/63/34/15/2/086334152/086334152	The moral dignity and general claims of agricultural science;
08/63/34/12/8/086334128/086334128	Address delivered before the Philadelphia society for promoting agriculture, at its annual meeting, on the fifteenth of January, 1822.
08/63/23/37/1/086323371/086323371	A manual of obstetrical nursing,
08/63/15/11/6/086315116/086315116	A universal formulary :
08/63/04/26/2/086304262/086304262	The principles of the chrono-thermal system of medicine,
08/63/09/36/9/086309369/086309369	Blood and nerve diseases;
08/63/32/36/2/086332362/086332362	Foreign essays on agriculture and arts :
08/63/38/65/1/086338651/086338651	Agricultural chemistry.
08/63/33/22/9/086333229/086333229	How to make the farm pay; or, The farmer's book of practical information on agriculture, stock raising, fruit culture, special crops, domestic economy &amp; family medicine.
08/62/91/93/0/086291930/086291930	Childhood and growth;
08/60/38/41/3/086038413/086038413	Echoes of the Universe :

62/46/20/68/62462068/62462068	Annual report - National Cancer Institute, Division of Cancer Cause and Prevention.
62/46/22/39/62462239/62462239	Annual report - National Cancer Institute, Division of Cancer Cause and Prevention.

62/48/76/36/62487636/62487636	Research and development contracts.

62/53/74/44/62537444/62537444	Bulletin of the State Board of Health of Kentucky.

62/53/75/02/62537502/62537502	Bulletin of the State Board of Health of Kentucky.

79/19/46/48/79194648/79194648	Monthly bulletin.

79/19/85/66/79198566/79198566	Annual report.

79/19/86/24/79198624/79198624	Annual report.

79/19/36/12/79193612/79193612	Annual report of the National Board of Health.

79/19/41/48/79194148/79194148	The National Institutes of Health almanac.

79/19/49/91/79194991/79194991	Monthly bulletin.

79/18/39/23/79183923/79183923	Iowa public health bulletin.

79/18/49/66/79184966/79184966	Proceedings of the Sanitary Convention ...

79/18/47/88/79184788/79184788	Proceedings of the Sanitary Convention ...

79/18/47/26/79184726/79184726	Proceedings of the Sanitary Convention ...

79/86/85/72/79868572/79868572	Condition and doings of the Boston Society of Natural History as exhibited by the annual reports of the officers.

79/86/85/10/79868510/79868510	Condition and doings of the Boston Society of Natural History as exhibited by the annual reports of the officers.

79/86/93/82/79869382/79869382	Journal ...

79/86/93/68/79869368/79869368	Biennial report of the director.

79/86/93/20/79869320/79869320	Journal ...

79/86/94/26/79869426/79869426	Biennial report of the director.

70/05/06/27/70050627/70050627	First Melbourne general catalogue of 1227 stars for the epoch 1870 :

70/05/03/74/70050374/70050374	Second Melbourne general catalogue of 1211 stars for the epoch 1880 :

70/00/23/81/70002381/70002381	Elements of plane and spherical trigonometry :

27/97/81/38/27978138/27978138	Summarized proceedings and a directory of members.

27/97/80/56/27978056/27978056	Summarized proceedings and a directory of members.

27/97/22/41/27972241/27972241	Proceedings of a complimentary dinner given to Dr. Joseph Parrish of Burlington, N.J. /

27/57/23/83/27572383/27572383	Mental depression :

27/54/59/68/27545968/27545968	Arithmetic :

76/75/84/73/76758473/76758473	The American astronomer ...

76/75/76/25/76757625/76757625	Annual summary /

80/82/28/84/80822884/80822884	A treatise on Asiatic cholera /

57/05/44/65/57054465/57054465	Studies in natural history.

57/05/44/96/57054496/57054496	Studies in natural history.

57/05/44/58/57054458/57054458	Studies in natural history.

57/05/48/69/57054869/57054869	The Science observer.

57/05/48/83/57054883/57054883	The Science observer.

57/05/45/23/57054523/57054523	Studies in natural history.

57/05/45/30/57054530/57054530	Studies in natural history.

57/05/45/16/57054516/57054516	Studies in natural history.

57/14/17/29/57141729/57141729	Annual report.

57/14/21/04/57142104/57142104	Annual report.

57/14/20/77/57142077/57142077	Annual report.

57/14/23/13/57142313/57142313	Annual report.

57/14/22/55/57142255/57142255	Annual report.

57/14/53/63/57145363/57145363	Agronomy journal.
57/08/64/12/57086412/57086412	The Cambridge and Dublin mathematical journal ...

57/08/63/92/57086392/57086392	The Cambridge and Dublin mathematical journal ...

57/09/97/95/57099795/57099795	The American journal of insanity.

57/09/11/99/57091199/57091199	Plane trigonometry for the use of colleges and schools :

57/09/98/53/57099853/57099853	The American journal of insanity.

57/09/12/33/57091233/57091233	An elementary treatise on the differential calculus founded on the method of rates or fluxions,

57/12/64/42/57126442/57126442	A manual of percussion and auscultation :

57/12/23/60/57122360/57122360	Proceedings of the American Academy of Arts and Sciences.

57/12/07/95/57120795/57120795	The problem of typhoid fever in the United States /

57/06/46/61/57064661/57064661	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/46/85/57064685/57064685	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/46/92/57064692/57064692	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/46/54/57064654/57064654	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/46/47/57064647/57064647	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/25/57064825/57064825	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/18/57064818/57064818	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/63/57064863/57064863	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/87/57064887/57064887	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/70/57064870/57064870	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/56/57064856/57064856	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/01/57064801/57064801	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/32/57064832/57064832	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/94/57064894/57064894	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/48/49/57064849/57064849	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/15/08/57061508/57061508	Discuss the movement of a heavy particle constrained to move upon a vertical circle, invariably connected with a fixed vertical axis about which the circle revolves with constant angular velocity.

57/06/15/15/57061515/57061515	The motion on a smooth sphere of a particle attracted by a force varying inversely as the cube of the distance.

57/06/50/46/57065046/57065046	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/50/08/57065008/57065008	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/50/15/57065015/57065015	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/50/39/57065039/57065039	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/50/53/57065053/57065053	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/90/57064990/57064990	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/52/57064952/57064952	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/14/57064914/57064914	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/76/57064976/57064976	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/45/57064945/57064945	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/83/57064983/57064983	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/07/57064907/57064907	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/49/38/57064938/57064938	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/81/57064781/57064781	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/05/57064705/57064705	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/74/57064774/57064774	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/67/57064767/57064767	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/98/57064798/57064798	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/12/57064712/57064712	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/36/57064736/57064736	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/50/57064750/57064750	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/43/57064743/57064743	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/06/47/29/57064729/57064729	Mathematical questions and solutions in continuation of the mathematical columns of &quot;the Educational times&quot;.

57/10/82/04/57108204/57108204	Health at its best v. cancer.

57/10/05/71/57100571/57100571	The American journal of insanity.

60/21/70/63/60217063/60217063	Technical bulletin /

60/21/72/10/60217210/60217210	Technical bulletin /

11/68/95/84/11689584/11689584	Elements of plane geometry /

11/44/24/12/11442412/11442412	Solid geometry and conic sections,

11/79/77/45/11797745/11797745	Electrocardiography,

11/79/59/61/11795961/11795961	The Framingham study;

11/79/59/85/11795985/11795985	The Framingham study;

11/79/59/78/11795978/11795978	The Framingham study;

11/79/59/30/11795930/11795930	The Framingham study;

11/79/59/09/11795909/11795909	The Framingham study;

11/79/59/54/11795954/11795954	The Framingham study;

11/79/59/47/11795947/11795947	The Framingham study;

11/70/87/20/11708720/11708720	Elements of Non-Euclidean geometry ...

11/76/44/95/11764495/11764495	Why did it happen to me?

11/80/33/17/11803317/11803317	The evaluation of hemodialyzers;

11/67/47/25/11674725/11674725	The slide-rule, and how to use it:

11/04/41/98/11044198/11044198	Integration by trigonometric and imaginary substitution,

11/03/40/81/11034081/11034081	The nature of mathematics /

11/71/55/34/11715534/11715534	The mechanical Euclid :

11/71/55/27/11715527/11715527	Elementary mechanics /

11/71/50/10/11715010/11715010	A complete solution to a simple rendezvous problem,

11/71/53/25/11715325/11715325	A treatise on statics with applications to physics.

72/61/37/55/72613755/72613755	System for indexing and classifying clinical case histories and medical literature,

72/61/17/24/72611724/72611724	Backwoods surgery &amp; medicine /

72/61/90/22/72619022/72619022	Report of the trial of Rev. J.T. Michael, traveling elder in the Newark annual conference on the Methodist Episcopal Church.

72/61/25/72/72612572/72612572	A text-book of practical medicine,

72/61/34/57/72613457/72613457	Functional pathology of internal diseases,

72/61/24/07/72612407/72612407	A treatise on the principles and practice of medicine :

72/61/20/10/72612010/72612010	A Text-book of the practice of medicine /

72/61/14/33/72611433/72611433	The lighting doctor :

72/61/15/77/72611577/72611577	Accidents and emergencies;

72/61/28/87/72612887/72612887	Medicine, disease, and death;

72/61/28/56/72612856/72612856	The general practitioner as a specialist.

72/61/13/44/72611344/72611344	Century book of health;

72/61/13/20/72611320/72611320	Howard&apos;s domestic medicine:

72/61/13/06/72611306/72611306	The happy home health guide,

72/61/12/79/72611279/72611279	Plain home talk about the human system -

72/61/16/42/72611642/72611642	First aid practice for factory dispensaries,

72/61/16/80/72611680/72611680	American Red cross abridged text-book on first aid.

72/61/50/77/72615077/72615077	St. Luke&apos;s Hospital medical and surgical reports ...

72/61/50/15/72615015/72615015	St. Luke&apos;s Hospital medical and surgical reports ...

72/61/41/47/72614147/72614147	The general practitioner. A manual for the practice of medicine

72/61/29/83/72612983/72612983	The medical experience of thirty years practice in the treatment of certain acute and chronic diseases :

72/61/47/98/72614798/72614798	Medical and surgical report of the Presbyterian Hospital in the City of New York.

